Tous âges,99,102,97
moins d’1 an (a),35,38,31
1 à 4 ans,3,3,3
5 à 9 ans,1,1,1
10 à 14 ans,1,1,1
15 à 19 ans,2,3,1
20 à 24 ans,4,6,2
25 à 29 ans,5,7,3
30 à 34 ans,6,9,4
35 à 39 ans,9,12,5
40 à 44 ans,13,18,8
45 à 49 ans,20,26,14
50 à 54 ans,32,42,22
55 à 59 ans,49,66,33
60 à 64 ans,75,103,50
65 à 69 ans,112,155,75
70 à 79 ans,198,266,141
80 à 89 ans,606,760,505
90 à 110 ans,2002,2336,1875
