expirygroup,expiryDate,c_Last,c_Change,c_Bid,c_Ask,c_Volume,c_Openinterest,c_colour,strike,p_Last,p_Change,p_Bid,p_Ask,p_Volume,p_Openinterest,p_colour,drillDownURL
,Oct 31,19.70,4.45,19.15,19.45,921,1631,False,765.00,31.05,-10.15,32.80,33.20,99,189,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00765000
,Oct 31,17.75,4.10,17.20,17.45,2203,2868,False,770.00,35.32,-9.58,35.80,36.20,215,385,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00770000
,Oct 31,15.45,3.38,15.30,15.60,2939,2154,False,775.00,38.20,-9.95,38.95,39.35,121,112,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00775000
,Oct 31,13.90,3.23,13.60,13.85,2338,2407,False,780.00,41.73,-9.91,42.20,42.60,118,154,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00780000
,Oct 31,12.10,2.68,11.95,12.25,838,1697,False,785.00,43.95,-11.61,45.60,46.10,51,56,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00785000
,Oct 31,10.70,2.50,10.55,10.80,2152,3169,False,790.00,49.00,-10.43,49.15,49.65,177,353,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00790000
,Oct 31,9.30,2.15,9.20,9.50,770,1212,False,795.00,52.25,-13.30,52.75,53.30,11,112,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00795000
,Oct 31,8.10,1.81,8.05,8.25,7674,7108,False,800.00,56.20,-11.08,56.60,57.15,125,96,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00800000
,Oct 31,7.34,1.94,6.95,7.20,1058,701,False,805.00,60.90,-9.82,60.55,61.15,13,14,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00805000
,Oct 31,6.12,1.52,6.05,6.25,2556,2650,False,810.00,63.20,-10.84,63.40,65.85,4,10,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00810000
,Oct 31,5.30,1.30,5.10,5.40,691,543,False,815.00,78.22,--,67.45,70.10,--,17,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00815000
,Oct 31,4.55,1.08,4.45,4.65,1454,1259,False,820.00,73.75,-17.65,72.05,74.00,36,38,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00820000
,Oct 31,3.96,0.98,3.80,3.95,1830,1293,False,825.00,77.54,-12.71,75.85,78.60,4,3,True,/fr/market-activity/stocks/meta/option-chain/call-put-options/meta--251031c00825000
