covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
BM_BLAST,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
ANC,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
MONOCYTES,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
HB,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
n_genes,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
vaf_mean,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
